front;back
aumentare (v.t. - v. int.);to increase
aumento (s.m.);increase
autentico (agg.);authentic
auto (mobile) (s.f.);car (mobile)
autobus (s.m.);bus
autore/trice (s.m.);author
autostrada (s.f.);motorway
autunno (s.m.);autumn
avanti (avv.);forward
avaro (agg.);miserly
avere (v.t.);to have
avverbio (s.m.);adverb
avvertire (v.t.);warn
avvicinarsi (v. int. pron.);get closer
azienda (s.f.);agency
azione (s.f.);action
azzurro (agg.);light blue
baciare (v.t.);kiss
bacio (s.m.);kiss
baffo (s.m.);mustache
bagaglio (s.m.);luggage
bagnare/si (v.t. - v.rifl.);wet/yes
bagno (s.m.);bathroom
balcone (s.m.);balcony
ballare (v.int.);dance
bambino/a (s.m - s.f.);child
bambola (s.f.);doll
banana (s.f.);banana
banca (s.f.);bank
banco (s.m.);bench
bancomat (s.m.);atm
banconota (s.f.);banknote
bar (s.m.);bar
barba (s.f.);beard
barca (s.f.);boat
base (s.f.);base
basso (agg.);low
basta (inter.);enough
bastare (v.int.);to be enough
beato (agg.);blessed
beh (inter.);well
bellezza (s.f.);beauty
bello (agg.);nice
benché (cong.);though
bene (avv.);well
benvenuto (agg.);welcome
benzina (s.f.);gas
bere (v.t.);to drink
bianco (agg.);white
bibita (s.f.);drink
biblioteca (s.f.);library
bicchiere (s.m.);glass
bicicletta (s.f.);bicycle
biglietteria (s.f.);ticket office
biglietto (s.m.);ticket
bilancia (s.f.);balance
bilocale (s.m.);two-room apartment
binario (s.m.);tracks
biondo (agg.);blond
birra (s.f.);beer
bisognare (v.int.);to need
bisogno (s.m.);need
bistecca (s.f.);steak
blu (agg.);blue
bocca (s.f.);mouth
bocciare (v.t.);fail
boh (inter.);i don't know
bollente (agg.);boiling
bolletta (s.f.);bill
bollettino (s.m.);bulletin
bollire (v. int.);boil
bomba (s.f.);bomb
bonifico (s.m.);wire transfer
borsa (s.f.);bag
bosco (s.m.);forest
bottiglia (s.f.);bottle
braccio (s.m.);arm
brano (s.m.);song
bravo (agg. - inter.);bravo
breve (agg.);brief
bruciarsi (v.t.pron.);get burned
brutto (agg.);ugly
bugia (s.f.);lie
buio (s.m.);dark
buonanotte (inter.);good night
buonasera (inter.);good evening
buongiorno (inter.);good morning
buono (agg.);good
burro (s.m.);butter
busta (s.f.);envelope
buttare (v.t.);to throw
cadavere (s.m.);corpse
cadere (v.int.);to fall
caffè (s.m.);coffee
calcio (s.m.);soccer
calcolare (v.t.);calculate
caldo (agg. - s.m.);hot
calma (s.f.);calm
calmarsi (v.int.pron.);calm down
calmo (agg.);calm
calza (s.f.);fits
cambiare (v.t - v.int.);to change
camera (s.f.);room
cameriere/a (s.m.- s.f.);waiter
camicia (s.f.);shirt
camion (s.m.);truck
camminare (v.int.);to walk
campagna (s.f.);countryside
campeggio (s.m.);camping
camper (s.m.);camper
campo (s.m.);field
canale (s.m.);channel
cane (s.m.);dog
canguro (s.m.);kangaroo
cantante (s.m - s.f.);singer
cantare (v.t.);to sing
cantiere (s.m.);worksite
cantina (s.f.);cellar
canzone (s.f.);song
capace (agg.);capable
capacità (s.f.);capacity
capello (s.m.);hair
capire (v.t.);to understand
capitale (s.m.- s.f.);capital
capitare (v.int.);to happen
capo (s.m.);boss
capodanno (s.m.);new year's
cappello (s.m.);hat
cappotto (s.m.);coat
cappuccino (s.m.);cappuccino
carabiniere (s.m.);policeman
carattere (s.m.);character
carcere (s.m.);prison
caricare (v.t.);to load
carne (s.f.);meat
carnevale (s.m.);carnival
caro (agg.);expensive
carota (s.f.);carrot
carriera (s.f.);career
carta (s.f.);paper
cartolina (s.f.);postcard
cartone (s.m.);cardboard
casa (s.f.);house
casalingo/a (s.m. – s.f.);housewife
caso (s.m.);case
cassa (s.f.);earnings
cassettiera (s.f.);chest of drawers
castano (agg.);brown
cattivo (agg.);bad
catturare (v.t.);capture
causa (s.f.);cause
cavallo (s.m.);horse
cavarsela (v.t. pron.);get by
cavolo (inter.);cabbage
cd (s.m.);cd
celibe (agg.);celibate
cellulare (s.m.);mobile phone
cena (s.f.);dinner
cenare (v.int.);have dinner
centimetro (s.m.);centimeter
centro (s.m.);center
cercare (v.t.);to look for
cerotto (s.m.);bandaid
certamente (avv.);certainly
certificato (s.m.);certificate
certo (agg. - avv.);certain
cervello (s.m.);brain
che (pron. - cong.);that
check-in (s.m.);check in
chi (pron.);who
chiacchierare (v.int.);chat
chiamare/si (v.t. - v.int.pron.);call/yes
chiaro (agg.);clear
chiave (s.f.);key
chiedere (v.t.);ask
chiesa (s.f.);church
chilo (s.m.);kilo
chilometro (s.m.);kilometer
chissà (avv.);maybe
chiudere (v.t.);to close
chiunque (pron.);whoever
ci (part. pron. – pron.);there
ciao (inter.);hi
ciascuno (pron.);each
cibo (s.m.);food
cieco (agg. - s.m.);blind
cielo (s.m.);sky
cima (s.f.);top
cimitero (s.m.);graveyard
cin cin (inter.);cheers. cheers
cinema (s.m.);cinema
cioccolato (s.m.);chocolate
cioè (cong.);meaning what
cipolla (s.f.);onion
circa (avv.);about
citare (v.t.);quote
cittadinanza (s.f.);citizenship
città (s.f.);city
ciò (pron.);that is
classe (s.f.);class
classico (agg.);classic
cliccare (v.t.);click
cliente (s.m. - s.f.);customer
clima (s.m.);climate
clinica (s.f.);clinic
coda (s.f.);tail
cogliere (v.t.);seize
cognato/a (s.m. - s.f.);brother-in-law
cognome (s.m.);surname
coincidenza (s.f.);coincidence
colazione (s.f.);breakfast
collaboratore/trice (s.m. - s.f.);collaborator
collana (s.f.);necklace
collega (s.m. - s.f.);colleague
collegio (s.m.);college
collezionare (v.t.);collect
collezione (s.f.);collection
collina (s.f.);hill
collocamento (s.m.);placement
colloquio (s.m.);interview
colorare (v.t.);color
colore (s.m.);color
colpa (s.f.);fault
colpevole (agg. - s.m. - s.f.);guilty
coltello (s.m.);knife
combattere (v.t. - v.int.);fight
come (cong. - avv.);how
cominciare (v.t. - v.int.);to begin
commedia (s.f.);comedy
commentare (v.t.);comment
commento (s.m.);comment
commercio (s.m.);commerce
commesso/a (s.m. - s.f.);clerk
comodino (s.m.);night table
comodo (agg.);comfortable
compagnia (s.f.);company
compagno/a (s.m. - s.f.);partner
compilare (v.t.);compile
compito (s.m.);task
compleanno (s.m.);birthday
complemento (s.m.);complement
complesso (agg.);complex
completo (agg.);complete
complicare (v.t.);complicate
complimento (s.m.);compliment
comportamento (s.m.);behavior
comportarsi (v.int.pron.);behave
comprare (v.t.);to buy
comprendere (v.t.);to understand
computer (s.m.);computer
comune (s.m.);common
comunicare (v.t.);to communicate
comunicazione (s.f.);communication
comunque (cong. - avv.);anyway
con (prep.);with
concentrare/si (v.t - v. rifl.);concentrate/yes
concerto (s.m.);concert
concludere (v.t.);conclude
conclusione (s.f.);conclusion
concorrenza (s.f.);competition
concorso (s.m.);competition
condannare (v.t.);condemn
condividere (v.t.);share
condizionare (v.t.);condition
condizione (s.f.);condition
condoglianza (s.f.);condolence
condominio (s.m.);condominium
conferenza (s.f.);conference
confermare (v.t.);confirm
confine (s.m.);confine
confrontare (v.t.);compare
confronto (s.m.);comparison
confuso (agg.);confused
congratulazione (s.f.);congratulation
coniugare (v.t.);conjugate
coniuge (s.m. - s.f.);spouse
connettersi (v.rifl.);connect
conoscenza (s.f.);knowledge
conoscere (v.t.);to know
consegnare (v.t.);deliver
conseguenza (s.f.);consequence
considerare (v.t.);consider
considerazione (s.f.);consideration
consigliare (v.t.);recommend
consiglio (s.m.);advice
consolato (s.m.);consulate
consonante (s.f.);consonant
contante (s.m.);cash
contare (v.t. - v.int);to count
contattare (v.t.);contact
contatto (s.m.);contact
contemporaneamente (avv.);at the same time
contemporaneo (agg.);contemporary
contento (agg.);happy
continuamente (avv.);continuously
continuare (v.t.);to continue
conto (s.m.);account
contorno (s.m.);side
contrario (s.m.);opposite
contratto (s.m.);contract
contro (prep.);against
controllare (v.t.);check
conversazione (s.f.);conversation
convincere (v.t.);to convince
convivente (s.m - s.f.);cohabitant
coperta (s.f.);cover
copia (s.f.);copy
coppia (s.f.);couple
coraggio (inter. - s.m.);courage
cordiale (agg.);friendly
cordialmente (avv.);cordially
corpo (s.m.);body
correggere (v.t.);correct
corrente (agg. - s.m.);current
correre (v.int.);to run
corso (s.m.);course
cortesia (s.f.);courtesy
corto (agg.);short
cosa (s.f.);what
costare (v.t.);cost
costo (s.m.);cost
costoso (agg.);costly
costringere (v.t.);force
costruire (v.t.);to build
costruzione (s.f.);construction
così (avv.);like this
cotone (s.m.);cotton
creare (v.t.);to create
credere (v.t.);to believe
credito (s.m.);credit
crema (s.f.);cream
crepare (v.int.);die
crescere (v.int.);to grow
criminale (s.m.);criminal
crisi (s.f.);crisis
criticare (v.t.);criticize
crociera (s.f.);cruise
cronaca (s.f.);news
crudo (agg.);raw
cucchiaio (s.m.);table spoon
cucina (s.f.);kitchen
cucinare (v.t.);to cook
cugino/a (s.m. - s.f.);cousin
cui (pron.);which
cultura (s.f.);culture
cuocere (v.t.);cook
cuore (s.m.);heart
cura (s.f.);care
curarsi (v.rifl.);cure yourself
curioso (agg.);curious
curriculum vitae (loc.sost.m.);curriculum vitae
cuscino (s.m.);cushion
da (prep.);from
danno (s.m.);harm
dappertutto (avv.);everywhere
dare (v.t.);to give
data (s.f.);date
dato (s.m.);given
davanti (avv. - prep.);in front
davvero (avv.);really
debito (s.m.);debt
debole (agg.);weak
decidere (v.t.);to decide
decisione (s.f.);decision
deludere (v.t.);disappoint
delusione (s.f.);disappointment
democrazia (s.f.);democracy
denaro (s.m.);money
dente (s.m.);tooth
dentifricio (s.m.);toothpaste
dentista (s.m. - s.f.);dentist
dentro (avv. - prep.);inside
denuncia (s.f.);complaint
denunciare (v.t.);report
deprimere (v.t.);depress
descrivere (v.t.);to describe
deserto (s.m.);desert
desiderare (v.t.);to wish
desiderio (s.m.);desire
destinatario (s.m);recipient
destra (s.f.);right
detestare (v.t.);detest
dettato (s.m.);dictated
di (prep.);of
dialetto (s.m.);dialect
dialogo (s.m.);dialogue
diario (s.m.);diary
diavolo (s.m.);devil
dicembre (s.m.);December
dichiarare (v.t.);to declare
dieta (s.f.);diet
dietro (avv.- prep.);behind
difendere (v.t.);to defend
difetto (s.m.);defect
differente (agg.);different
differenza (s.f.);difference
difficile (agg.);difficult
difficoltà (s.f.);difficulty
dimenticare/si (v.t. - v.int. pron.);forget/yes
diminuire (v.int.);diminish
dimostrare (v.t.);show
dio (s.m.);god
dipendente (s.m - s.f.);employee
dipendenza (s.f.);dependence
dipendere (v.int.);to depend
dipingere (v.t.);to paint
dipinto (s.m.);painting
diploma (s.m.);diploma
diplomarsi (v. int. pron.);graduate
dire (v.t.);to say
direttamente (avv.);directly
direttore/trice (s.m. – s.f.);director
direzione (s.f.);direction
dirigente (s.m.- s.f.);manager
disabile (agg.);disabled
discesa (s.f.);descent
discorso (s.m.);speech
discoteca (s.f.);nightclub
discussione (s.f.);discussion
discutere (v.t.);to discuss
disegnare (v.t.);draw
disgustoso (agg.);disgusting
disoccupato/a (agg. - s.m. - s.f.);unemployed
dispensa (s.f.);pantry
disperare (v.int.);despair
dispiacere (v.int.);sorry
distanza (s.f.);distance
distinto (agg.);distinct
distributore (s.m.);distributor
disturbare (v.t.);to disturb
dito (s.m.);finger
ditta (s.f.);business
divano (s.m.);sofa
diventare (v.int.);to become
diverso (agg.);different
divertente (agg.);fun
divertimento (s.m.);fun
divertirsi (v. rifl.);have fun
dividere (v.t.);to divide
divieto (s.m.);prohibition
divorziare (v. int.);divorce
dizionario (s.m.);dictionary
doccia (s.f.);shower
documentario (s.m.);documentary
documento (s.m.);document
dogana (s.f.);customs
dolce (agg. - s.m);sweet
dolore (s.m.);pain
domanda (s.f.);question
domandare (v.t.);to ask
domani (avv.);tomorrow
domenica (s.f.);Sunday
donna (s.f.);woman
dopo (avv. - prep);after
dopodomani (avv.);the day after tomorrow
doppio (agg.);double
dormire (v.int.);to sleep
dottorato (s.m.);doctorate
dottore/ssa (s.m. - s.f.);doctor
dove (avv.);where
dovere (v.int.);must
dovunque (avv.);anywhere
dritto (avv.);straight
droga (s.f.);drug
dubbio (s.m.);doubt
dubitare (v.int.);doubt
dunque (cong.);so
duomo (s.m.);cathedral
durante (prep.);during
durare (v.int.);to last
duro (agg.);hard
e (cong.);and
e-mail (s.f.);e-mail
eccetera (locuz.);etc.
eccetto (prep.);except
eccezionale (agg.);exceptional
ecco (locuz.);here you are
economia (s.f.);economy
educazione (s.f.);education
egoista (agg.);selfish
egregio (agg.);excellent
eh (inter.);eh
elegante (agg.);elegant
elementare (agg.);elementary
elettricista (s.m. - s.f.);electrician
elezione (s.f.);election
elicottero (s.m.);helicopter
emergenza (s.f.);emergency
emozione (s.f.);emotion
enorme (agg.);huge
entrare (v.int.);to enter
entrata (s.f.);entrance
entro (prep.);within
epoca (s.f.);era
erba (s.f.);grass
errore (s.m.);error
esame (s.m.);examination
esatto (agg. - avv.);exactly
escludere (v.t.);exclude
esempio (s.m.);example
esercito (s.m.);army
esercizio (s.m.);exercise
esistere (v.int.);to exist
esperienza (s.f.);experience
espressione (s.f.);expression
esprimere (v.t.);squeeze
essere (v.int.);to be
est (s.m.);east
estate (s.f.);summer
esterno (agg.);external
estero (s.m.);abroad
estroverso (agg.);extroverted
etto (s.m.);hectogram
età (s.f.);age
euro (s.m.);euro
evidente (agg.);obvious
evidenza (s.f.);evidence
fabbrica (s.f.);factory
faccia (s.f.);face
facile (agg.);easy
facoltà (s.f.);faculty
falso (agg.);false
fame (s.f.);hunger
famiglia (s.f.);family
famoso (agg.);famous
fantastico (agg.);fantastic
farcela (v. t. pron.);make it
fare (v.t.);to do
farina (s.f.);flour
farmacia (s.f.);pharmacy
fastidio (s.m.);nuisance
fatica (s.f.);effort
fattoria (s.f.);farm
favola (s.f.);fable
favore (s.m.);favor
fax (s.m.);fax
febbraio (s.m.);February
febbre (s.f.);fever
fede (s.f.);faith
felice (agg.);happy
felicità (s.f.);happiness
femmina (s.f.);female
femminile (agg.);feminine
feria (s.f.);feria
feriale (agg.);weekdays
ferire/si (v.t. – v. int. pron.);hurt/yes
ferita (s.f.);wound
fermare/si (v.t. - v.int.pron.);stop/yes
fermata (s.f.);stop
fermo (agg.);stopped
ferro (s.m.);iron
festa (s.f.);party
festeggiare (v.t.);celebrate
festivo (agg.);festive
fetta (s.f.);slice
fiammifero (s.m.);match
fiction (s.f.);fiction
fidanzato/a (s.m. - s.f.);boyfriend/girlfriend
fidarsi (v. int. pron.);trust
fiducia (s.f.);trust
figlio/a (s.m. - s.f.);son/daughter
figo (agg.);cool
figura (s.f.);figure
figurarsi (v.t.pron.);imagine
fila (s.f.);line
film (s.m.);movie
finale (agg.);final
finalmente (avv.);finally
finché (cong.);until
fine (s.m. - s.f.);end
finestra (s.f.);window
finire (v.t. – v.int.);to finish
fino (prep.);until
finora (avv.);until now
finto (agg.);fake
fiore (s.m.);flower
firma (s.f.);signature
firmare (v.t.);sign
fiume (s.m.);river
foglio (s.m.);sheet
folla (s.f.);crowd
fondo (s.m.);background
fontana (s.f.);fountain
forchetta (s.f.);fork
forma (s.f.);form
formaggio (s.m.);cheese
formazione (s.f.);training
fornello (s.m.);stove
fornitore (s.m.);supplier
forno (s.m.);oven
forse (avv.);maybe
forte (agg.);strong
fortuna (s.f.);luck
forza (s.f. - inter.);strength
fotografia (s.f.);photo
fra (prep.);between
fragile (agg.);fragile
francobollo (s.m.);stamp
frase (s.f.);phrase
fratello (s.m.);brother
freddo (s.m. - agg.);cold
freezer (s.m.);freezer
fregarsene (v.int.pron.);don't care
frenare (v.int.);brake
freno (s.m.);brake
frequentare (v.t.);frequent
fresco (agg.);fresh
fretta (s.f.);hurry
friggere (v.t.);fry
frigorifero (s.m.);refrigerator
fronte (s.f.);front
frullatore (s.m.);blender
frutta (s.f.);fruit
fulmine (s.m.);lightning
fumare (v.t.);to smoke
fumetto (s.m.);comic book
fumo (s.m.);smoke
funzionare (v.int.);to work
fuoco (s.m.);fire
fuori (avv. - prep.);outside
furto (s.m.);theft
futuro (s.m.);future
galera (s.f.);jail
galleria (s.f.);gallery
gamba (s.f.);leg
ganzo (agg.);cool
gara (s.f.);competition
garage (s.m.);garage
gas (s.m.);gas
gatto (s.m.);cat
gelato (s.m. - agg.);ice-cream
generalmente (avv.);generally
generazione (s.f.);generation
genere (s.m.);type
genero (s.m.);son-in-law
generoso (agg.);generous
genitore (s.m.);parent
gennaio (s.m.);January
gente (s.f.);people
gentile (agg.);kind
geografia (s.f.);geography
gesto (s.m.);gesture
ghiacciaio (s.m.);glacier
ghiaccio (s.m.);ice
giacca (s.f.);jacket
giallo (agg.);yellow
giardinaggio (s.m.);gardening
giardino (s.m.);garden
ginnastica (s.f.);gymnastics
giocare (v.int.);to play
giocatore/trice (s.m. - s.f.);player
giocattolo (s.m.);toy
gioco (s.m.);game
gioia (s.f.);joy
giornale (s.m.);newspaper
giornalista (s.m. - s.f.);journalist
giornata (s.f.);day
giorno (s.m.);day
giovane (agg.);young
giovedì (s.m.);Thursday
girare (v.int.);to turn
giro (s.m.);tour
gita (s.f.);trip
giudice (s.m.);judge
giugno (s.m.);June
giustizia (s.f.);justice
giusto (agg.);right
già (avv.);already
giù (avv.);down
gli (art. - pron.);the
globalizzazione (s.f.);globalisation
gonna (s.f.);skirt
governo (s.m.);government
grado (s.m.);degree
grammo (s.m.);gram
grande (agg.);big
grasso (agg.);fat
gratis (avv.);free
grave (agg.);serious
grazie (inter.);thank you
gridare (v.int.);scream
grigio (agg.);gray
grosso (agg.);big
gruppo (s.m.);group
guadagnare (v.t.);earn
guanto (s.m.);glove
guardare (v.t.);to watch
guarire (v.int.);heal
guasto (agg. - s.m.);broken down
guerra (s.f.);war
guida (s.f.);guide
guidare (v.t.);to drive
gustare (v.t.);enjoy
gusto (s.m.);taste
hobby (s.m.);hobby
hotel (s.m.);hotel
i (art.);the
idea (s.f.);idea
ideale (agg.);ideal
identità (s.f.);identity
ideologia (s.f.);ideology
idraulico (s.m.);hydraulic
ieri (avv.);yesterday
il (art.);the
imitare (v.t.);imitate
immaginare (v.t.);to imagine
immagine (s.f.);image
immobile (s.m.);motionless
imparare (v.t.);to learn
impaziente (agg.);impatient
impegnare (v.t.);commit
impegno (s.m.);i commit
impensabile (agg.);unthinkable
impermeabile (s.m.);waterproof
impianto (s.m.);plant
impiegato/a (s.m. - s.f.);employee
importante (agg.);important
importanza (s.f.);importance
importare (v.int.);to matter
impossibile (agg.);impossible
impresa (s.f.);business
impressione (s.f.);impression
improbabile (agg.);unlikely
improvvisamente (avv.);suddenly
improvviso (agg.);sudden
in (prep.);in
incendio (s.m.);fire
incidente (s.m.);accident
includere (v.t.);include
incominciare (v.t.);begin
incontrare/si (v.t.  - v. rifl. recip.);meet/yes
incredibile (agg.);incredible
incrocio (s.m.);intersection
incubo (s.m.);nightmare
indietro (avv.);back
indifferente (agg.);indifferent
indimenticabile (agg.);unforgettable
indirizzo (s.m.);address
indispensabile (agg.);essential
indossare (v.t.);wear
industria (s.f.);industry
infanzia (s.f.);childhood
infatti (cong.);indeed
inferiore (agg.);inferior
infermiere/a (s.m. - s.f.);nurse
infine (avv.);in the end
informare (v.t.);inform
informazione (s.f.);information
ingegnere (s.m.);engineer
iniziare (v.t. – v.int.);to start
inizio (s.m.);beginning
innamorarsi (v.int.pron.);fall in love
innanzitutto (avv.);first of all
innocente (agg.);innocent
inoltre (avv.);furthermore
inquilino/a (s.m. - s.f.);tenant
inquinamento (s.m.);pollution
insalata (s.f.);salad
insegnante (s.m - s.f.);teacher
insegnare (v.t.);to teach
insieme (avv.);together
insipido (agg.);tasteless
insistere (v.int.);insist
insomma (avv.);in short
intanto (avv.);meanwhile
intelligente (agg.);intelligent
intendere (v.t.);to intend
intenzione (s.f.);intention
interessante (agg.);interesting
interessarsi (v.int.pron.);be interested
interesse (s.m.);interest
internazionale (agg.);international
internet (s.f.);internet
interno (agg. - s.m.);internal
interrompere (v.t.);stop
intervenire (v. int.);intervene
intervista (s.f.);interview
intorno (avv.);environment
introverso (agg.);introverted
inutile (agg.);useless
invece (cong.);instead
inventare (v.t.);invent
inverno (s.m.);winter
investire (v.t.);invest
inviare (v.t.);send
invisibile (agg.);invisible
invitare (v.t.);to invite
io (pron.);i
iscriversi (v.rifl.);sign up
iscrizione (s.f.);registration
isola (s.f.);island
istituto (s.m.);institute
italiano (s.m.);Italian
la (art. - pron.);the
ladro/a (s.m. – s.f.);thief
laggiù (avv.);over there
lago (s.m.);lake
lamentarsi (v. int. pron.);complain
lampada (s.f.);lamp
lana (s.f.);wool
largo (agg.);wide
lasciare (v.t.);leave
lassù (avv.);up there
lato (s.m.);side
latte (s.m.);milk
laurea (s.f.);degree
laurearsi (v.int.pron.);graduate
lavagna (s.f.);board
lavanderia (s.f.);laundry
lavandino (s.m.);sink
lavare/si (v.t. – v.rifl. - v.t.pron.);wash/yes
lavastoviglie (s.f.);dishwasher
lavatrice (s.f.);washing machine
lavorare (v.int.);to work
lavorativo (agg.);working
lavoro (s.m.);work
le (art. - pron.);the
legge (s.f.);law
leggere (v.t.);to read
leggero (agg.);light
legno (s.m.);wood
lei (pron.);she
lentamente (avv.);slowly
lento (agg.);slow
lenzuolo (s.m.);sheet
leone (s.m.);lion
lettera (s.f.);letter
letto (s.m.);bed
lezione (s.f.);lesson
li (pron.);there
liberare (v.t.);to free
libero (agg.);free
libertà (s.f.);freedom
libreria (s.f.);bookshelf
libro (s.m.);book
licenziare (v.t.);fire
liceo (s.m.);lyceum
linea (s.f.);line
lingua (s.f.);tongue
liquido (agg.);liquid
lirica (agg. - s.f.);lyrical
liscio (agg.);smooth
litigare (v. int.);argue
litro (s.m.);liter
livello (s.m.);level
lo (art. - pron.);the
locale (s.m.);local
logico (agg.);logical
lontano (agg. - avv.);far
lordo (agg.);gross
loro (pron. - agg.);they
lotto (s.m.);lot
luce (s.f.);light
luglio (s.m.);July
lui (pron.);he
luna (s.f.);moon
lunedì (s.m.);Monday
lungo (agg.);long
luogo (s.m.);place
lupo (s.m.);wolf
là (avv.);there
lì (avv.);there
ma (cong.);but
macchina (s.f.);car
madre (s.f.);mother
maestro/a (s.m. - s.f.);master
magari (inter. - cong.);perhaps
maggio (s.m.);May
maggiore (agg.);greater
maglietta (s.f.);t-shirt
maglione (s.m.);sweater
magnifico (agg.);magnificent
magro (agg.);thin
mah (inter.);meh
mai (avv.);never
maiale (s.m.);pig
maiuscola (s.f.);capital
malato (agg.);sick
malattia (s.f.);illness
male (avv.);badly
mamma (s.f.);mom
manager (s.m. - s.f.);manager
mancanza (s.f.);lack
mancare (v.int.);to miss
mancia (s.f.);tip
mandare (v.t.);to send
