madre (s.f.);mother
maggio (s.m.);May
maglietta (s.f.);t-shirt
maglione (s.m.);sweater
magro (agg.);thin
mai (avv.);never
malato (agg.);sick
male (avv.);badly
mamma (s.f.);mom
mangiare (v.t.);to eat
mare (s.m.);sea
marito (s.m.);husband
martedì (s.m.);Tuesday
marzo (s.m.);March
maschio (s.m.);male
matita (s.f.);pencil
mattina (s.f.);morning
me (pron.);me
medicina (s.f.);medicine
meno (avv.);less
menù (s.m.);menu
mercato (s.m.);market
mercoledì (s.m.);Wednesday
mese (s.m.);month
mettere (v.t.);to put
metà (s.f.);half
mezzanotte (s.f.);midnight
mezzo (agg.);means
mezzogiorno (s.m.);noon
mi (pron.);me
minuto (s.m.);minute
mio (agg.);my
moglie (s.f.);wife
molto (agg. - avv.);very
momento (s.m.);moment
montagna (s.f.);mountain
morire (v. int.);to die
moto(cicletta) (s.f.);motorcycle)
museo (s.m.);museum
musica (s.f.);music
nascere (v.int.);to be born
natale (s.m.);christmas
nazionalità (s.f.);nationality
nazione (s.f.);nation
negozio (s.m.);shop
nero (agg.);black
nessuno (pron.);nobody
niente (pron. - avv.);nothing
no (avv.);no
noi (pron.);we
nome (s.m.);name
non (avv.);not
nonno/a (s.m. – s.f.);grandfather
notte (s.f.);night
novembre (s.m.);November
numero (s.m.);number
nuovo (agg.);new
o (cong.);or
occhiale (s.m.);eyeglasses
oggi (avv.);today
olio (s.m.);oil
ombrello (s.m.);umbrella
ora (s.f. - avv.);now
orologio (s.m.);watch
ospedale (s.m.);hospital
ottobre (s.m.);October
pacco (s.m.);package
padre (s.m.);father
pagare (v.t.);to pay
pane (s.m.);bread
pantalone (s.m.);pants
papà (s.m.);dad
parcheggio (s.m.);parking
parco (s.m.);park
parlare (v.t.- v.int.);to speak
parola (s.f.);word
partire (v.int.);to leave
pasqua (s.f.);Easter
passaporto (s.m.);passport
pasta (s.f.);pasta
penna (s.f.);pen
pepe (s.m.);pepper
per (prep.);for
perché (avv. - cong.);why
pesce (s.m.);fish
piacere (v.int. - s.m.);pleasure
piano (avv.  – s.m.);floor
pianta (s.f.);plant
piatto (s.m.);plate
piazza (s.f.);square
piccolo (agg.);small
piovere (v.int.);to rain
pizza (s.f.);pizza
pizzeria (s.f.);pizzeria
più (avv.);more
poco (po’) (agg. – avv.);little (little)
polizia (s.f.);police
pomeriggio (s.m.);afternoon
pomodoro (s.m.);tomato
porta (s.f.);door
portare (v.t.);to bring
posta (s.f.);post office
posto (s.m.);place
potere (v.int.);can
pranzare (v.int);to have lunch
pranzo (s.m.);lunch
prego (inter.);please
prendere (v.t.);to take
prenotare (v.t.);to book
presto (avv.);early
prezzo (s.m.);price
primavera (s.f.);spring
professore/ssa (s.m. – s.f.);professor
pulire (v.t.);to clean
qua (avv.);here
quaderno (s.m.);notebook
quadro (s.m.);painting
quale (pron.);which
quando (avv.);when
quanto (agg. – pron. – avv.);how much
quarto (s.m.);fourth
quasi (avv.);almost
quello (agg. – pron.);that
questo (agg. – pron.);this
qui (avv.);here
radio (s.f.);radio
ragazzo/a (s.m. – s.f.);boy/girl
ricco (agg.);rich
ripetere (v.t.);to repeat
riso (s.m.);rice
rispondere (v.int.);to answer
risposta (s.f.);answer
ristorante (s.m.);restaurant
ritornare (v.int.);to return
rosso (agg.);red
sabato (s.m.);Saturday
sale (s.m.);salt
salute (inter.);health
saluto (s.m.);greeting
sapere (v.t.);to know
scarpa (s.f.);shoe
scrivere (v.t.);to write
scuola (s.f.);school
scusare (v.t.);to excuse
secondo (s.m.);second
sedia (s.f.);chair
segreteria (s.f.);secretariat
sempre (avv.);always
senza (prep.- avv.);without
sera (s.f.);evening
sete (s.f.);thirst
settembre (s.m.);September
settimana (s.f.);week
si (pron.);yes
sigaretta (s.f.);cigarette
significare (v.t.);to mean
signore/a (s.m. – s.f.);sir
simpatico (agg.);nice
singolo (agg.);single
sinistra (s.f.);left
soggiorno (s.m.);living room
soldo (s.m.);money
sole (s.m.);sun
sonno (s.m.);sleep
sopra (avv.);above
sorella (s.f.);sister
sotto (avv.);under
spaghetto (s.m.);spaghetti
spedire (v.t.);to send
spesa (s.f.);expense
spesso (avv.);often
spiaggia (s.f.);beach
sporco (agg.);dirty
sport (s.m.);sport
sposare (v.t.);to marry
stanco (agg.);tired
stare (v.int.);to be
stazione (s.f.);station
stop (s.m.);stop
strada (s.f.);road
straniero (agg.);foreigner
stretto (agg.);narrow
studente/ssa (s.m. – s.f.);student
studiare (v.t.);to study
su (avv.);on
suonare (v.t.);to play music
supermercato (s.m.);supermarket
svegliarsi (v.int. pron.);to wake up
sì (avv.);yes
tanto (agg. – avv.);so much
tardi (avv.);late
tavolo (s.m.);table
taxi (s.m.);taxi
te (pron.);tea
teatro (s.m.);theater
telefonare (v. int.);to call
telefono (s.m.);phone
televisione (s.f.);television
ti (pron.);you
tornare (v.int.);to return
treno (s.m.);train
triste (agg.);sad
troppo (agg. – avv.);too much
trovare (v.t.);to find
tu (pron.);you
tuo (agg.);your
turista (s.m. – s.f.);tourist
tutto (agg.);everything
tv (s.f);tv
tè (s.m.);tea
ufficio (s.m.);office
un/o/a (art.);a/o/a
università (s.f.);university
uomo (s.m.);man
uovo (s.m.);egg
uscire (v.int.);to go out
vacanza (s.f.);vacation
valigia (s.f.);suitcase
vecchio (agg.);old
vedersi (v. rifl. recip.);to see each other
venerdì (s.m.);Friday
venire (v.int.);to come
verde (agg.);green
verdura (s.f.);vegetables
vero (agg.);true
vestito (s.m.);dress
via (s.f.);street
viaggiare (v.int.);to travel
viaggio (s.m.);trip
vicino (avv.);near
vino (s.m.);wine
visitare (v.t.);to visit
visto (s.m.);visa
vivere (v.int.);to live
voi (pron.);you
volere (v.int.);to want
zaino (s.m.);backpack
zucchero (s.m.);sugar
