front;back
dire (v.t.);to say
direttamente (avv.);directly
direttore/trice (s.m. - s.f.);director
direzione (s.f.);direction
discesa (s.f.);descent
discoteca (s.f.);nightclub
disegnare (v.t.);draw
disoccupato/a (agg. - s.m. - s.f.);unemployed
dispensa (s.f.);pantry
disperare (v.int);despair
dispiacere (v.int.);sorry
distinto (agg.);distinct
distributore (s.m.);distributor
dito (s.m.);finger
ditta (s.f.);business
divano (s.m.);sofa
diventare (v.int.);to become
diverso (agg.);different
divertente (agg.);fun
divertimento (s.m.);fun
divertirsi (v. rifl.);have fun
divorziare (v. int.);divorce
dizionario (s.m.);dictionary
doccia (s.f.);shower
documentario (s.m.);documentary
documento (s.m.);document
dogana (s.f.);customs
dolce (agg. - s.m.);sweet
dolore (s.m.);pain
domanda (s.f.);question
domandare (v.t.);to ask
domani (avv.);tomorrow
domenica (s.f.);Sunday
donna (s.f.);woman
dopo (avv. - prep);after
dopodomani (avv.);the day after tomorrow
doppio (agg.);double
dormire (v.int.);to sleep
dottore/ssa (s.m. - s.f.);doctor
dove (avv.);where
dovere (v.int.);must
dritto (avv.);straight
dunque (cong.);so
duomo (s.m.);cathedral
durante (prep.);during
durare (v.int.);to last
duro (agg.);hard
e (cong.);and
e-mail (s.f.);e-mail
eccezionale (agg.);exceptional
ecco (locuz.);here you are
economia (s.f.);economy
egoista (agg.);selfish
egregio (agg.);excellent
eh (inter.);eh
elegante (agg.);elegant
elementare (agg.);elementary
elettricista (s.m. - s.f.);electrician
elicottero (s.m.);helicopter
emergenza (s.f.);emergency
emozione (s.f.);emotion
entrare (v.int.);to enter
entrata (s.f.);entrance
erba (s.f.);grass
errore (s.m.);error
esame (s.m.);examination
esempio (s.m.);example
esercizio (s.m.);exercise
esperienza (s.f.);experience
esprimere (v.t.);squeeze
essere (v.int.);to be
est (s.m.);east
estate (s.f.);summer
estero (s.m.);abroad
estroverso (agg.);extroverted
etto (s.m.);hectogram
età (s.f.);age
euro (s.m.);euro
fabbrica (s.f.);factory
faccia (s.f.);face
facile (agg.);easy
facoltà (s.f.);faculty
falso (agg.);false
fame (s.f.);hunger
famiglia (s.f.);family
famoso (agg.);famous
fantastico (agg.);fantastic
fare (v.t.);to do
farina (s.f.);flour
farmacia (s.f.);pharmacy
fattoria (s.f.);farm
favola (s.f.);fable
favore (s.m.);favor
fax (s.m.);fax
febbraio (s.m.);February
febbre (s.f.);fever
felice (agg.);happy
felicità (s.f.);happiness
femmina (s.f.);female
femminile (agg.);feminine
feria (s.f.);feria
ferire/si (v.t. – v.int.pron.);hurt/yes
ferita (s.f.);wound
fermare/si (v.t. - v.int.pron.);stop/yes
fermata (s.f.);stop
fermo (agg.);stopped
ferro (s.m.);iron
festa (s.f.);party
festeggiare (v.t.);celebrate
fetta (s.f.);slice
fiammifero (s.m.);match
fiction (s.f.);fiction
fidanzato/a (s.m. - s.f.);boyfriend/girlfriend
figlio/a (s.m. - s.f.);son/daughter
film (s.m.);movie
finale (agg.);final
finalmente (avv.);finally
fine (s.m. - s.f.);end
finestra (s.f.);window
finire (v.t. – v.int.);to finish
fino (prep.);until
fiore (s.m.);flower
firma (s.f.);signature
firmare (v.t.);sign
fiume (s.m.);river
foglio (s.m.);sheet
fontana (s.f.);fountain
forchetta (s.f.);fork
forma (s.f.);form
formaggio (s.m.);cheese
fornello (s.m.);stove
forno (s.m.);oven
forse (avv.);maybe
forte (agg.);strong
fortuna (s.f.);luck
forza (s.f. - inter.);strength
fotografia (s.f.);photo
fra (prep.);between
francobollo (s.m.);stamp
frase (s.f.);phrase
fratello (s.m.);brother
freddo (s.m. - agg.);cold
freezer (s.m.);freezer
freno (s.m.);brake
frequentare (v.t.);frequent
fresco (agg.);fresh
fretta (s.f.);hurry
friggere (v.t.);fry
frigorifero (s.m.);refrigerator
fronte (s.f.);front
frullatore (s.m.);blender
frutta (s.f.);fruit
fulmine (s.m.);lightning
fumare (v.t.);to smoke
fumetto (s.m.);comic book
fumo (s.m.);smoke
funzionare (v.int.);to work
fuoco (s.m.);fire
fuori (avv. - prep.);outside
futuro (s.m.);future
gamba (s.f.);leg
gara (s.f.);competition
garage (s.m.);garage
gas (s.m.);gas
gatto (s.m.);cat
gelato (s.m. - agg.);ice-cream
generalmente (avv.);generally
genere (s.m.);type
genero (s.m.);son-in-law
generoso (agg.);generous
genitore (s.m.);parent
gennaio (s.m.);January
gente (s.f.);people
gentile (agg.);kind
geografia (s.f.);geography
ghiaccio (s.m.);ice
giacca (s.f.);jacket
giallo (agg.);yellow
giardinaggio (s.m.);gardening
giardino (s.m.);garden
ginnastica (s.f.);gymnastics
giocare (v.intr.);to play
giocatore/trice (s.m. - s.f.);player
giocattolo (s.m.);toy
gioco (s.m.);game
gioia (s.f.);joy
giornale (s.m.);newspaper
giornalista (s.m. - s.f.);journalist
giornata (s.f.);day
giorno (s.m.);day
giovane (agg.);young
giovedì (s.m.);Thursday
girare (v.int.);to turn
giro (s.m.);tour
gita (s.f.);trip
giugno (s.m.);June
giusto (agg.);right
già (avv.);already
giù (avv.);down
gli (art. - pron.);the
gonna (s.f.);skirt
grado (s.m.);degree
grammo (s.m.);gram
grande (agg.);big
grasso (agg.);fat
gratis (avv.);free
grazie (inter.);thank you
grigio (agg.);gray
grosso (agg.);big
gruppo (s.m.);group
guadagnare (v.t.);earn
guanto (s.m.);glove
guardare (v.t.);to watch
guarire (v.int.);heal
guasto (agg. - s.m.);broken down
guida (s.f.);guide
guidare (v.t.);to drive
gusto (s.m.);taste
hobby (s.m.);hobby
hotel (s.m.);hotel
i (art.);the
idea (s.f.);idea
identità (s.f.);identity
idraulico (s.m.);hydraulic
ieri (avv.);yesterday
il (art.);the
immaginare (v.t.);to imagine
imparare (v.t.);to learn
impaziente (agg.);impatient
impegnare (v.t.);commit
impegno (s.m.);i commit
impermeabile (s.m.);waterproof
impianto (s.m.);plant
impiegato/a (s.m. - s.f.);employee
importante (agg.);important
importare (v.int.);to matter
impossibile (agg.);impossible
improbabile (agg.);unlikely
improvvisamente (avv.);suddenly
improvviso (agg.);sudden
in (prep.);in
incendio (s.m.);fire
incidente (s.m.);accident
incominciare (v.t.);begin
incontrare/si (v.t.  - v. rifl. recip.);meet/yes
incredibile (agg.);incredible
incrocio (s.m.);intersection
incubo (s.m.);nightmare
indietro (avv.);back
indifferente (agg.);indifferent
indimenticabile (agg.);unforgettable
indirizzo (s.m.);address
indossare (v.t.);wear
industria (s.f.);industry
infatti (cong.);indeed
infermiere/a (s.m. - s.f.);nurse
infine (avv.);in the end
informare (v.t.);inform
informazione (s.f.);information
ingegnere (s.m.);engineer
iniziare (v.t. – v.int.);to start
inizio (s.m.);beginning
innamorarsi (v.int. pron.);fall in love
inoltre (avv.);furthermore
insalata (s.f.);salad
insegnante (s.m - s.f.);teacher
insegnare (v.t.);to teach
insieme (avv.);together
insipido (agg.);tasteless
insomma (avv.);in short
intelligente (agg.);intelligent
interessante (agg.);interesting
interessarsi (v.int.pron.);be interested
internazionale (agg.);international
internet (s.f.);internet
intorno (avv.);environment
introverso (agg.);introverted
inutile (agg.);useless
invece (cong.);instead
inventare (v.t.);invent
inverno (s.m.);winter
inviare (v.t.);send
invitare (v.t.);to invite
io (pron.);i
isola (s.f.);island
istituto (s.m.);institute
italiano (s.m.);Italian
la (art. - pron.);the
ladro/a (s.m. – s.f.);thief
lago (s.m.);lake
lampada (s.f.);lamp
lana (s.f.);wool
largo (agg.);wide
lasciare (v.t.);leave
latte (s.m.);milk
laurea (s.f.);degree
laurearsi (v.int.pron.);graduate
lavagna (s.f.);board
lavanderia (s.f.);laundry
lavandino (s.m.);sink
lavare/si (v.t. - v.rif.);wash/yes
lavastoviglie (s.f.);dishwasher
lavatrice (s.f.);washing machine
lavorare (v.int.);to work
lavoro (s.m.);work
le (art. - pron.);the
leggere (v.t.);to read
leggero (agg.);light
legno (s.m.);wood
lei (pron.);she
lentamente (avv.);slowly
lento (agg.);slow
lenzuolo (s.m.);sheet
leone (s.m.);lion
lettera (s.f.);letter
letto (s.m.);bed
lezione (s.f.);lesson
li (pron.);there
libero (agg.);free
libreria (s.f.);bookshelf
libro (s.m.);book
liceo (s.m.);lyceum
linea (s.f.);line
lingua (s.f.);tongue
liquido (agg.);liquid
lirica (agg. - s.f.);lyrical
liscio (agg.);smooth
litro (s.m.);liter
livello (s.m.);level
lo (art. - pron.);the
locale (s.m.);local
lontano (agg. - avv.);far
loro (pron. - agg.);they
lotto (s.m.);lot
luce (s.f.);light
luglio (s.m.);July
lui (pron.);he
luna (s.f.);moon
lunedì (s.m.);Monday
lungo (agg.);long
luogo (s.m.);place
lupo (s.m.);wolf
là (avv.);there
lì (avv.);there
ma (cong.);but
macchina (s.f.);car
madre (s.f.);mother
maestro/a (s.m. - s.f.);master
maggio (s.m.);May
maggiore (agg.);greater
maglietta (s.f.);t-shirt
maglione (s.m.);sweater
magnifico (agg.);magnificent
magro (agg.);thin
mai (avv.);never
maiale (s.m.);pig
malato (agg.);sick
malattia (s.f.);illness
male (avv.);badly
mamma (s.f.);mom
mancare (v.int.);to miss
mancia (s.f.);tip
mandare (v.t.);to send
mangiare (v.t.);to eat
manica (s.f.);sleeve
mano (s.f.);hand
marca (s.f.);brand
marciapiede (s.m.);sidewalk
mare (s.m.);sea
marito (s.m.);husband
marrone (agg.);brown
martedì (s.m.);Tuesday
marzo (s.m.);March
maschile (agg.);masculine
maschio (s.m.);male
massimo (agg.);maximum
master (s.m.);master
matematica (s.f.);mathematics
materia (s.f.);subject
matita (s.f.);pencil
matrimonio (s.m.);marriage
mattina (s.f.);morning
me (pron.);me
meccanico (s.m.);mechanical
medicina (s.f.);medicine
medico (s.m.);doctor
medio (agg.);medium
meglio (avv. – agg.);better
mela (s.f.);apple
meno (avv.);less
mensa (s.f.);cafeteria
mensile (s.m.);monthly
mensola (s.f.);shelf
mentre (cong.);while
menù (s.m.);menu
meraviglioso (agg.);marvelous
mercato (s.m.);market
mercoledì (s.m.);Wednesday
merenda (s.f.);snack
mese (s.m.);month
messaggio (s.m.);message
metallo (s.m.);metal
metro (s.m.);subway
metro(politana) (s.f.);metro (politana)
metropoli (s.f.);metropolis
mettere/si (v.t. – v.t.pron.);put/yes
metà (s.f.);half
mezzanotte (s.f.);midnight
mezzo (agg.);means
mezzogiorno (s.m.);noon
mi (pron.);me
migliorare (v.t. - v.int.);to improve
migliore (agg.);improve
minestra (s.f.);soup
minimo (agg.);minimum
minore (agg.);minor
minuto (s.m.);minute
mio (agg. - pron.);my
mite (agg.);mild
mobile (s.m.);mobile
moda (s.f.);fashion
moderno (agg.);modern
modo (s.m.);way
modulo (s.m.);module
moglie (s.f.);wife
molto (agg. - avv.);very
momento (s.m.);moment
mondo (s.m.);world
moneta (s.f.);currency
monolocale (s.m.);studio apartment
montagna (s.f.);mountain
monumento (s.m.);monument
morire (v. int.);to die
morte (s.f.);death
mostra (s.f.);show
motivo (s.m.);reason
moto(cicletta) (s.f.);motorcycle)
motore (s.m.);motor
motorino (s.m.);moped
mucca (s.f.);cow
muovere/si (v.t. - v.rifl.);move/yes
muro (s.m.);wall
museo (s.m.);museum
musica (s.f.);music
musicale (agg.);musical
nascere (v.int.);to be born
nascondere (v.t.);to hide
naso (s.m.);nose
natale (s.m.);christmas
natura (s.f.);nature
naturale (agg.);natural
nave (s.f.);ship
navigare (v.int.);navigate
nazionalità (s.f.);nationality
nazione (s.f.);nation
ne (part. pron.);no
neanche (avv - cong.);not even
nebbia (s.f.);fog
necessario (agg.);necessary
negativo (agg.);negative
negozio (s.m.);shop
nero (agg.);black
nervoso (agg.);nervous
nessuno (pron. - agg.);nobody
neve (s.f.);snow
nevicare (v.int.);snow
niente (pron. - avv.);nothing
nipote (s.m. - s.f.);nephew/niece
no (avv.);no
noi (pron.);we
noioso (agg.);boring
noleggiare (v.t.);rent
nome (s.m.);name
non (avv.);not
nonno/a (s.m. - s.f.);grandfather
nord (s.m.);north
normale (agg.);normal
nostalgia (s.f.);nostalgia
nostro (agg. – pron.);our
notizia (s.f.);news
notte (s.f.);night
novembre (s.m.);November
novità (s.f.);novelty
numero (s.m.);number
nuora (s.f.);daughter in law
nuotare (v.int.);to swim
nuoto (s.m.);i swim
nuovo (agg.);new
nuvola (s.f.);cloud
nuvoloso (agg.);cloudy
né (cong.);nor
o (cong.);or
obbligatorio (agg.);obligatory
occasione (s.f.);occasion
occhiale (s.m.);eyeglasses
occhio (s.m.);eye
occupare/si (v.t. - v. int. pron.);occupy/yes
odiare (v.t.);hate
odio (s.m.);hatred
odore (s.m.);odor
offerta (s.f.);offer
offrire (v.t.);to offer
oggetto (s.m.);object
oggi (avv.);today
ogni (agg.);everything is fine
ok (inter.);ok
olio (s.m.);oil
ombrello (s.m.);umbrella
onesto (agg.);honest
opera (s.f.);work
operaio/a (s.m. - s.f.);worker
opinione (s.f.);opinion
oppure (cong.);or
ora (s.f. - avv.);now
orario (s.m.);hours
ordinare (v.t.);to order
ordine (s.m.);order
orecchio (s.m.);ear
organizzare (v.t.);to organize
oro (s.m.);gold
orologio (s.m.);watch
orribile (agg.);horrible
ospedale (s.m.);hospital
ospitalità (s.f.);hospitality
ospite (s.m. - s.f.);guest
osservare (v.t.);to observe
ottimista (agg.);optimistic
ottimo (agg.);optimal
ottobre (s.m.);October
ovale (agg.);oval
ovest (s.m.);west
pacco (s.m.);package
padella (s.f.);pan
padre (s.m.);father
padrone/a (s.m. - s.f.);master
paese (s.m.);country
pagare (v.t.);to pay
pagina (s.f.);page
paio (s.m.);couple
palazzo (s.m.);palace
palestra (s.f.);gym
palla (s.f.);ball
pallacanestro (s.f.);basketball
pane (s.m.);bread
panino (s.m.);sandwich
pantalone (s.m.);pants
papà (s.m.);dad
parcheggio (s.m.);parking
parco (s.m.);park
parente (s.f.);relative
parere (s.m.);to seem
parete (s.f.);wall
parlare (v.t.- v.int.);to speak
parola (s.f.);word
parte (s.f.);part
partecipare (v.int.);to participate
partenza (s.f.);departure
particolarmente (avv.);particularly
partire (v.int.);to leave
partita (s.f.);match
pasqua (s.f.);Easter
passaggio (s.m.);passage
passaporto (s.m.);passport
passare (v.t.);to pass
passato (s.m.);past
passeggiare (v.int.);stroll
passeggiata (s.f.);stroll
passione (s.f.);passion
pasta (s.f.);pasta
pasto (s.m.);meal
patata (s.f.);potato
patente (s.f.);license
paura (s.f.);fear
pausa (s.f.);break
pavimento (s.m.);floor
pazienza (s.f.);patience
peccato (s.m.);sin
pediatra (s.m. - s.f.);pediatrician
pedonale (agg.);pedestrian
peggio (avv. - agg.);worse
peggiorare (v.t.);get worse
peggiore (agg.);worse
pelle (s.f.);skin
penna (s.f.);pen
pensare (v.int.);to think
pensione (s.f.);pension
pentola (s.f.);pot
pepe (s.m.);pepper
per (prep.);for
pera (s.f.);pear
perché (avv. - cong.);why
perciò (cong.);therefore
perdere (v.t.);to lose
perfetto (agg.);perfect
periferia (s.f.);outskirts
periodo (s.m.);period
permesso (s.m.);permit
persona (s.f.);person
però (cong.);though
pesante (agg.);heavy
pesare (v.t.);to weigh
pescare (v.t.);fish
pesce (s.m.);fish
pessimista (agg.);pessimistic
pessimo (agg.);very bad
pettine (s.m.);comb
pezzo (s.m.);piece
phon (s.m.);phon
piacere (v.int. - s.m.);pleasure
piacevole (agg.);pleasant
piangere (v.int.);to cry
piano (avv. - s.m.);floor
pianta (s.f.);plant
piatto (s.m.);plate
piazza (s.f.);square
piccante (agg.);spicy
piccolo (agg.);small
piede (s.m.);foot
piegare/si (v.t. - v. rifl.);fold/yes
pieno (agg. - s.m.);full
pigro (agg.);lazy
pillola (s.f.);pill
pioggia (s.f.);rain
piovere (v.int.);to rain
pipa (s.f.);pipe
piscina (s.f.);pool
pisello (s.m.);pea
pittore/trice (s.m. - s.f.);painter/ress
pittura (s.f.);painting
piuttosto (avv.);rather
pizza (s.f.);pizza
pizzeria (s.f.);pizzeria
pizzico (s.m.);pinch
più (avv.);more
plastica (s.f.);plastic
plurale (agg. - s.m.);plural
poco (po') (agg. - avv.);little (little)
poesia (s.f.);poetry
poeta/essa (s.m. - s.f.);poet
poi (avv.);then
polizia (s.f.);police
pollo (s.m.);chicken
poltrona (s.f.);armchair
pomeriggio (s.m.);afternoon
pomodoro (s.m.);tomato
pompiere (s.m.);firemen
ponte (s.m.);bridge
pop (s.m. - agg.);pop
porta (s.f.);door
portare (v.t.);to bring
porto (s.m.);port
posacenere (s.m.);ashtray
posata (s.f.);cutlery
positivo (agg.);positive
possibile (agg.);possible
possibilità (s.f.);possibility
posta (s.f.);post office
postino (s.m.);postman
posto (s.m.);place
potere (v.int.);can
povero (agg.);poor
pranzare (v.int.);to have lunch
pranzo (s.m.);lunch
praticamente (avv.);practically
pratico (agg.);practical
prato (s.m.);meadow
precedente (agg.);previous
preferire (v.t.);to prefer
prefisso (s.m.);prefix
pregare (v.t.);to pray
prego (inter.);please
premere (v.t.);press
prendere (v.t.);to take
prenotare (v.t.);to book
preoccuparsi (v. int. pron.);worry
preparare (v.t.);to prepare
preposizione (s.f.);preposition
presentare (v.t.);to present
preside (s.m. - s.f.);principal
prestare (v.t.);lend
presto (avv.);early
previsione (s.f.);prediction
prezzemolo (s.m.);parsley
prezzo (s.m.);price
